,0,1
0,시간축,2.5134958117733115
1,폴,10.289058872186091
2,서,25.32995776118871
3,말과,23.953816390576463
4,살의,15.109027279253409
5,설치대,4.0289834174279715
6,목표량,3.770943855769096
7,체로,5.746075876691949
8,만들기,0.02615041042568953
9,시술자,3.770943855769096
10,건상,3.770943855769096
11,음료,1.8997222599130026
12,메트릭,27.182689683809688
13,습,6.59793054519821
14,논리,0.10418878044885084
15,일차적,2.0871451808649
16,경량,4.777907152610958
17,전공,0.14684222971869562
18,가드,1.2565146131623404
19,기동,6.569361314938391
20,왼손,1.2565146131623404
21,그릇,0.14684222971869562
22,지그재그,8.82422923885093
23,우울증,7.5460916623250025
24,존의,1.2565146131623404
25,삽입,494.2430717721283
26,페이징,1.2565146131623404
27,주근깨,1.2565146131623404
28,칸막이,0.9569470305396027
29,기정,8.805409691086915
30,지정,46.79961437641799
31,현,3.13853126418827
32,라이더,1.2565146131623404
33,마감,42.29857198123227
34,자원,3.2285191224579273
35,사용법,6.2872415206256065
36,절약,4.252034972891262
37,돔,5.131127238083127
38,증과,1.2565146131623404
39,보도,0.052320249090922664
40,장점,18.120734162083853
41,성부,0.10471829780874634
42,연마,11.11014279202743
43,분진,6.993486121366894
44,목,0.28278450422598933
45,헤르츠,0.02615041042568953
46,접촉성,1.2565146131623404
47,강도,0.4543219440043811
48,현대인,5.028859005278996
49,골퍼,1.2565146131623404
50,일괄,0.9351448528730099
51,내장형,0.07850953765482933
52,회복기,1.2565146131623404
53,이중,46.094094590582934
54,지능,15.822861076636528
55,행,0.02311061020945774
56,인수,1.2565146131623404
57,샘플,32.97451114979727
58,광원,0.5947743606666815
59,지가,12.160354399831013
60,컨퍼런스,1.2565146131623404
61,불량,14.399861826489671
62,상위,1.99984947689266
63,불면증,2.5134958117733115
64,어부,3.665166467062316
65,최소,0.09369961471115884
66,계정,15.109027279253409
67,귀감,1.2565146131623404
68,모해,1.2565146131623404
69,갑상,2.5134958117733115
70,부정적,2.5134958117733115
71,반도덕,1.2565146131623404
72,기록기,1.2565146131623404
73,부에,274.3070369356544
74,주자,1.5267666228617083
75,궁,1.2565146131623404
76,적격,1.2565146131623404
77,통제,4.86662701993254
78,배부,0.14684222971869562
79,음주량,2.5134958117733115
80,형질,0.14684222971869562
81,업,0.10318475362417573
82,분석법,0.02615041042568953
83,심부,1.6664739519193004
84,회로부품,1.2565146131623404
85,본질적,2.4013694474604335
86,성종,1.2565146131623404
87,영수증,2.5134958117733115
88,투여량,5.028859005278996
89,조작부,6.993486121366894
90,협약,1.2565146131623404
91,폰,163.29094908196035
92,수분율,0.6073800609360638
93,수족,1.2565146131623404
94,엠,3.2874162690777307
95,기업,8.805409691086915
96,요법,34.76288875571291
97,산도,1.2565146131623404
98,비,0.6970053726341733
99,방연,2.5134958117733115
100,제일의,8.805409691086915
101,시,108.97473942144315
102,일정량,7.324588223076239
103,안락,3.770943855769096
104,라텍스,5.543707106380806
105,개인별,54.4546869050585
106,개해,1.2565146131623404
107,만,0.7046613455867816
108,태핑,0.02615041042568953
109,심음,5.028859005278996
110,물건,5.168193048545068
111,명과,1.2565146131623404
112,피막,16.546867739855347
113,유전학,3.770943855769096
114,이완기,2.5134958117733115
115,정지,12.360775097368007
116,소지,27.5617067670323
117,도스,2.5134958117733115
118,치중,1.2565146131623404
119,통신,811.0430091096197
120,펄스열,1.2565146131623404
121,겸,0.6073800609360638
122,동거인,1.2565146131623404
123,교육적,1.2565146131623404
124,집부,0.15186421526409993
125,녀,1.2565146131623404
126,바이스,28.443867717204796
127,무게,6.337313749168989
128,특허출원,0.6055198839666386
129,다원,2.5134958117733115
130,비품,2.5134958117733115
131,종별,5.028859005278996
132,중복,3.654459919710283
133,열량,0.588352237377363
134,득,5.028859005278996
135,국,1.4535355899389177
136,컴퓨팅,36.897791643819495
137,통화,23.40539041699876
138,임프,1.2565146131623404
139,상방,61.04503864972943
140,뒷질,1.2565146131623404
141,건강관리,141.07102393361274
142,즉각적,3.604268384715265
143,경직도,2.5134958117733115
144,실천,7.5460916623250025
145,피부암,1.2565146131623404
146,택인,0.02615041042568953
147,미터,5.761776324546108
148,다종,8.805409691086915
149,수출,0.02615041042568953
150,재충전,3.770943855769096
151,시판,0.6073800609360638
152,상한,0.9358449483210448
153,변복조,1.2565146131623404
154,원천적,3.2874162690777307
155,표준화,20.160369980954663
156,지속성,2.5134958117733115
157,숙원,2.5134958117733115
158,영사,1.2565146131623404
159,상대치,1.2565146131623404
160,연결,577.2886800345937
161,관전,1.2565146131623404
162,요건,0.03786025949924245
163,의료진,17.633758670539148
164,등받이,1.1995694676242068
165,배,80.06189861964754
166,오체,1.2565146131623404
167,포메이션,1.2565146131623404
168,초,10.569729027401092
169,센스,0.2938481631494522
170,모션,65.17670254745643
171,연습,17.633758670539148
172,비반전,0.6055198839666386
173,무릎,1.2565146131623404
174,농법,0.02615041042568953
175,정체성,1.2565146131623404
176,치하,0.14684222971869562
177,원거리,16.973965346853493
178,규약,2.5134958117733115
179,완전,10.30392014738492
180,구로,22.86610814770427
181,녹청,1.2565146131623404
182,하,109.32943430909386
183,저해,3.727061273630055
184,메신저,1.5267666228617083
185,웨이퍼,2.0028596888851458
186,기록부,6.053211311202855
187,주지,0.02615041042568953
188,변압,0.02615041042568953
189,오버랩,3.6054061665109467
190,경찰서,1.2565146131623404
191,통지,93.88785320753736
192,필름,46.56340753775167
193,전문인,3.770943855769096
194,자타,1.2565146131623404
195,도착,17.13665949601909
196,환시,0.02615041042568953
197,광파,1.2565146131623404
