번호	단어	chi-square
242	제정	1.186894124
243	봉제	1.186894124
244	다각적	1.186894124
245	재구성	10.23486853
246	응용	0.070417866
247	질병	52.8168643
248	수업	2.37443365
249	직립	0.693616159
250	사운드	5.788516818
251	연속	3.74265304
252	콧구멍	2.37443365
253	고가	0.058799314
254	트리트먼트	0.530115673
255	타인	7.131056312
256	움	7.387138376
257	도난	0.186027714
258	리을	1.186894124
259	엠	1.186894124
260	디지탈	2.368800423
261	조성	62.12917059
262	디스펜서	0.186027714
263	턴	3.374649288
264	취급	9.07256672
265	당뇨	8.321830758
266	탈산소	1.186894124
267	일출	1.186894124
268	귀부	1.186894124
269	수평축	0.693616159
270	뇌파	25.06101479
271	트리	6.19703101
272	교호	0.066322854
273	제조	552.4769529
274	특이	7.131056312
275	소식	3.562619104
276	키보드	3.562619104
277	돌입	1.186894124
278	기형성	1.186894124
279	기관	35.00299681
280	부종	1.186894124
281	구좌	1.186894124
282	들	0.249455398
283	체계	0.014675848
284	델타	0.014675848
285	쿼터	28.66466181
286	불면증	1.186894124
287	도구	1.235155182
288	배합	15.5620044
289	시야각	0.530115673
290	아치	0.044075479
291	통보함	1.186894124
292	이어폰	7.131056312
293	공제	3.562619104
294	측지선	1.186894124
295	과목	2.37443365
296	케이	125.1262742
297	심전계	5.940929907
298	구강	6.770262868
299	신지	1.186894124
300	무효	0.530115673
301	노동	1.335974771
302	분포	1.32851448
303	조리	0.693616159
304	활동량	60.14577799
305	직경	23.02887361
306	성병	1.186894124
307	재상	1.186894124
308	바이러스	0.350692817
309	습관	27.46278919
310	명	21.46327217
311	단계적	0.058799314
312	멘트	0.014675848
313	투병	1.186894124
314	속도계	1.186894124
315	행망	1.186894124
316	평소	2.37443365
317	납부	7.131056312
318	병소	2.37443365
319	신청	14.28544214
320	산	44.38010535
321	분실	0.693616159
322	과다	0.693616159
323	측정자	34.68390057
324	자세	72.93497037
325	효과적	1.804184667
326	머신	6.770262868
327	다이어트	21.71018495
328	일으키기	2.37443365
329	부족	5.340370763
330	티스	3.562619104
331	어하	5.940929907
332	가기	1.186894124
333	추락	1.335974771
334	이브	5.113605687
335	좌측	4.687733417
336	포털	4.751451014
337	다음번	1.186894124
338	태도	4.751451014
339	펩티드	2.37443365
340	배제	1.592946332
341	데님	1.186894124
342	마사지	0.014675848
343	함양	1.186894124
344	절제	1.186894124
345	캔	0.186027714
346	해로	1.186894124
347	오연	1.186894124
348	청진기	4.751451014
349	전도로	2.37443365
350	코딩	0.088295153
351	가동	5.130931547
352	침투	10.92896903
353	원통	10.09442032
354	아키텍처	0.693616159
355	평지	1.186894124
356	절약	1.000176626
357	전문직	2.37443365
358	후속	0.000927948
359	보고서	4.751451014
360	경증	1.186894124
361	음주	0.410598072
362	어수	1.186894124
363	제어장치	1.592946332
364	천과	1.186894124
365	봄	2.37443365
366	대퇴	2.37443365
367	품질정보	1.186894124
368	불의	3.562619104
369	겨드랑이	0.530115673
370	파마	0.014675848
371	필터	18.17098947
372	부합	1.592946332
373	물적	2.37443365
374	균	12.60413649
375	병기	1.186894124
376	수반	19.66663947
377	소비량	13.09141954
378	간접적	1.865741328
379	자계	1.186894124
380	만족	1.221571266
381	분	13.22650074
382	전환	1.754469834
383	충동	2.37443365
384	경관	0.186027714
385	빈맥	1.186894124
386	감열	1.186894124
387	등재	2.37443365
388	각종	15.00998782
389	단기	1.335974771
390	요건	0.029367666
391	제공자	17.87141943
392	콜레스테롤	0.530115673
393	수면	113.3694456
394	디지털신호	2.37443365
395	저체온	1.186894124
396	성동	3.562619104
397	자력	0.37235923
398	딜레이	0.044075479
399	인스트	0.014675848
400	하중	0.881791775
401	각막	1.186894124
402	책상	1.186894124
403	냉각	45.91382578
404	삭제	4.744055343
405	결과적	1.313075964
406	선수	2.125665571
407	캡처	4.751451014
408	성도	1.061097076
409	프로젝터	0.530115673
410	커넥션	0.014675848
411	교체	6.716425831
412	인명	3.562619104
413	창	6.101543696
414	저널	0.014675848
415	인격	1.186894124
416	마찰	15.12887893
417	피스	1.820205757
418	산치	3.562619104
419	인	3.837917095
420	급성	3.562619104
421	전립선	2.37443365
422	품	4.744055343
423	호발	1.186894124
424	일실	4.517069636
425	복막	2.37443365
426	방사	6.115317837
427	검파	1.186894124
428	이미지	14.8322803
429	정제	10.92896903
430	모집	1.186894124
431	전화	35.88972725
432	일령	1.186894124
433	압제	4.751451014
434	집계	3.562619104
435	제시	68.19784163
436	탑재해	1.186894124
437	색채	0.530115673
438	산성	2.794756236
439	척도	5.940929907
440	실감	1.186894124
441	장갑	0.530115673
442	배터리팩	1.186894124
443	취업	2.37443365
444	경계치	1.186894124
445	이주	1.186894124
446	보충	3.42342402
447	소로	1.186894124
448	방사선	0.046855605
449	협동	0.410598072
450	천은	3.562619104
451	침착	0.530115673
452	체인점	1.186894124
453	부위	34.53133186
454	콘	14.85138461
455	수집	205.2574336
456	에코	3.562619104
457	거울	0.132826425
458	끼니	1.186894124
459	헤어	2.37443365
460	커플러	5.159065945
461	주체	0.410598072
462	카로리	3.562619104
463	역치	27.61321405
464	동조	1.186894124
465	정렬	12.01581874
466	용품	2.766969417
467	사량	1.186894124
468	인접	10.57033773
469	원리	1.865741328
470	알맹이	1.186894124
471	효능	2.794756236
472	배뇨	2.37443365
473	동량	11.89804763
474	살포	0.693616159
475	계시	2.37443365
476	번째	0.832353288
477	멜라토닌	1.186894124
478	변형률	0.530115673
479	삼각	1.335974771
480	마이크로프로세서	5.635347313
481	혼성	1.335974771
482	예외적	1.186894124
483	관계자	5.940929907
484	역내	1.186894124
485	뒤쪽	0.186027714
486	바퀴	5.428661411
487	종사	9.07256672
488	온천	1.186894124
489	의학적	29.86719208
490	구면	0.014675848
491	재실	1.186894124
492	정전압	1.186894124
493	노인	39.51117491
494	이소성	1.186894124
495	트래픽	0.530115673
496	트레이너	21.46327217
497	반사파	1.381979284
498	종합적	23.86111192
499	진영	1.186894124
500	근	30.4160676
501	충전	9.966052958
502	강사	1.186894124
503	블링크	1.186894124
504	오목	3.345126459
505	동신	2.37443365
506	계가	8.321830758
507	불성	1.186894124
508	트레드밀	4.751451014
509	외력	0.568461612
510	동공	4.751451014
511	꺼풀	1.186894124
512	통신용	0.014675848
513	로지	4.751451014
514	질량	30.1450323
515	발끝	2.37443365
516	편마비	1.186894124
517	주지성	1.186894124
518	상황실	1.186894124
519	대회	0.014675848
520	꼬리	2.37443365
521	영상화	2.37443365
522	초기화	0.044075479
523	작용	5.770733872
524	내향	0.37235923
525	말로	87.06596604
526	녀	1.186894124
527	방출	4.212438444
528	레이어	0.012114641
529	독해	15.48011597
530	농도계	1.186894124
531	조도	0.694370119
532	외이도	11.89804763
533	펜던트	1.186894124
534	간이	2.368800423
535	재확인	2.37443365
536	데이터베이스	146.504682
537	대항	0.186027714
538	상반	0.014675848
539	양적	2.37443365
540	유치	4.751451014
541	배점	1.186894124
542	도전성	0.032457763
543	노	8.79582287
544	의무	2.37443365
545	대입	10.70532589
546	모두	0.540508287
547	절감	24.22404981
548	교수	1.186894124
549	생부	0.186027714
550	여	1.388743465
551	중앙	4.091931964
552	스쿼시	1.186894124
553	웹	27.94365865
554	정형	0.044075479
555	새	4.801738132
556	주관	2.37443365
557	여행	2.37443365
558	메이커	1.186894124
559	충전용	0.693616159
560	원의	1.592946332
561	모뎀	1.381979284
562	회전각	2.37443365
563	육아	2.37443365
564	액체	30.7560139
565	선전	1.186894124
566	안정	1.393270007
567	큐브	0.186027714
568	부면	8.96668031
569	유발	5.028404246
570	클라이언트	24.06464666
571	감독	2.37443365
572	해제	0.777465119
573	컨디션	4.751451014
574	완도	1.186894124
575	집기	0.014675848
576	화해	8.321830758
577	게스트	1.186894124
578	물마	1.186894124
579	적극	1.186894124
580	갤러리	1.186894124
581	구급차	1.186894124
582	미션	4.517069636
583	표지	0.410598072
584	학문적	7.131056312
585	도입부	1.186894124
586	해지	1.186894124
587	양만	1.186894124
588	국면	0.410598072
589	질환자	7.131056312
590	대향	42.47745871
591	비타민	0.37235923
592	수축력	0.693616159
593	우울	1.186894124
594	순간	0.350692817
595	댁내	2.37443365
596	조절	10.36970509
597	관리	744.7664492
598	내진	2.902293112
599	고통	2.37443365
600	살이	0.014675848
601	필수적	0.832353288
602	각	19.44472045
603	주자	1.186894124
604	재질	23.6272988
605	원반	0.014675848
606	표상	1.186894124
607	역학적	8.321830758
608	지출	1.381979284
609	취합	3.738607691
610	방호	0.014675848
611	공원	0.410598072
612	마음	14.28544214
613	붙이기	1.186894124
614	갑	2.37443365
615	순서	19.25935438
616	견부	1.186894124
617	퇴실	1.186894124
618	통소	1.186894124
619	사이클	15.5620044
620	배송	3.562619104
621	월별	2.37443365
622	관련성	2.368800423
623	폴리펩티드	1.186894124
624	울혈성	2.37443365
625	유선	29.2170702
626	체질	12.57450667
627	자극기	4.751451014
628	판매	6.770262868
629	분진	1.515078745
630	처음	3.42342402
631	원료	27.03033415
632	노란색	1.186894124
633	극소값	1.186894124
634	완주	1.186894124
635	내부	172.3529392
636	의사소통	2.37443365
637	경영	1.186894124
638	기타	1.141281636
639	도수	0.530115673
640	침자	2.37443365
641	과거	25.62641267
642	진찰	19.06805014
643	조종사	2.37443365
644	자사	0.014675848
645	몽유	1.186894124
646	우레탄	8.736840536
647	생지	1.186894124
648	근전도	23.86111192
649	혼	0.832353288
650	염분량	1.186894124
651	파이버	0.014675848
652	최대치	10.70532589
653	전도	4.609732268
654	접근	3.316369041
655	동화	0.014675848
656	남여	1.186894124
657	피복층	0.014675848
658	불량률	2.045948328
659	행기	1.186894124
660	지하	5.600185299
661	온도계	5.635347313
662	구사	3.562619104
663	불문	0.014675848
664	재생성	0.530115673
665	인플루엔자	2.37443365
666	추출기	1.186894124
667	동수	3.562619104
668	표시됨	1.186894124
669	압전성	0.014675848
670	정보부	1.186894124
671	삽	4.018859985
672	와이	2.379153655
673	상담소	3.562619104
674	성장	0.277997079
675	파브	1.186894124
676	청소	7.607227871
677	니스	44.73096179
678	베일	0.014675848
679	오작동	2.37443365
680	근원	0.014675848
681	탄수화물	0.186027714
682	등등	0.186027714
683	출입구	0.186027714
684	잡음	28.01909953
685	속	0.69715
686	실용화	1.186894124
687	순번	2.37443365
688	비용	0.105003879
689	동상	1.186894124
690	용의	4.251133318
691	초보	1.186894124
692	혜택	2.37443365
693	성취감	2.37443365
694	하드웨어	2.902293112
695	나트륨	1.388743465
696	운전대	2.37443365
697	외선	3.562619104
698	뜻밖	2.37443365
699	골드	1.186894124
700	응대	1.186894124
701	이마	2.368800423
702	서혜부	1.186894124
703	가	10.1080129
704	내역	16.67544156
705	발급	3.562619104
706	컬러	0.000346419
707	고관절	1.381979284
708	고전	41.76712741
709	추이	20.85574727
710	띠	0.568461612
711	대부분	2.794756236
712	필요시	0.530115673
713	해법	1.186894124
714	이상화	1.186894124
715	타의	7.131056312
716	커런트	1.186894124
717	촉구	1.186894124
718	반	15.6389723
719	자기력	2.37443365
720	원색	1.186894124
721	고지	2.368800423
722	신원	4.751451014
723	대두	0.693616159
724	공	67.33268497
725	시력	3.562619104
726	기록부	2.766969417
727	아바	11.89804763
728	뇌졸중	8.321830758
729	사고	7.96329381
730	음경	1.186894124
731	신경	34.01888105
732	호흡률	3.562619104
733	독서	1.186894124
734	모세관	0.693616159
735	체격	1.186894124
736	방위각	0.186027714
737	소속	4.751451014
738	결함	1.515078745
739	패스	4.771308149
740	하우스	0.390311122
741	서동	2.37443365
742	일기	0.014675848
743	우편	1.186894124
744	도형	3.562619104
745	섭취량	35.88972725
746	팩스	5.940929907
747	갱	0.014675848
748	분의	4.154980247
749	열람	8.321830758
750	태그	12.68084543
751	보통	2.045948328
752	편리	16.00892001
753	렘수면	3.562619104
754	도모	2.66278922
755	색전	1.186894124
756	팽이	1.186894124
757	교육	1.723463683
758	검색	57.64639233
759	송수신	47.41579992
760	앨리	2.37443365
761	부작용	4.751451014
762	큐	4.751451014
763	감도	1.592946332
764	측정장치	1.381979284
765	산해	1.186894124
766	지시	40.03525315
767	범죄자	1.186894124
768	원형	17.20540769
769	최소	11.1741627
770	우선	2.368800423
771	추가적	0.703109411
772	경찰서	1.186894124
773	보청기	1.186894124
774	수시	0.410598072
775	도의	1.061097076
776	파형	39.96991372
777	리	81.68562939
778	추측	5.940929907
779	수액	0.530115673
780	작업자	6.297364712
781	복사	3.568008385
782	내	25.36961586
783	극	0.177169923
784	개폐	29.7889527
785	췌장	1.186894124
786	이상인	10.47714364
787	합리적	6.770262868
788	소모량	11.40251712
789	설탕	1.335974771
790	수납부	1.335974771
791	센스	0.530115673
792	간격	10.31128455
793	프로필	0.350692817
794	유명인	2.37443365
795	동도	1.186894124
796	오실로	1.186894124
797	고기능	0.014675848
798	요하	1.186894124
799	작업	49.23653671
800	진료	90.84431654
801	척골	1.186894124
802	수평면	6.785546222
803	오프라인	9.513253773
804	평면	8.539563431
805	압출	23.61418184
806	재활	11.89804763
807	오피스	2.37443365
808	맥주	1.186894124
809	어댑터	6.370863333
810	자신	73.27714996
811	계	15.07742453
812	고속	0.933184045
813	동태	1.186894124
814	수지	160.184789
815	효과	0.855077329
816	보폭	5.940929907
817	스크린	0.694370119
818	자율	3.775001425
819	빌리지	1.186894124
820	표적	4.517069636
821	연장	126.2251468
822	은닉	1.186894124
823	파장	0.021263868
824	중과	1.186894124
825	암모니아	0.693616159
826	회원제	1.186894124
827	랩	0.350692817
828	문진	23.86111192
829	박의	2.37443365
830	싸인	14.28544214
831	스트립	2.009551281
832	서도	0.186027714
833	컨트롤러	4.591913759
834	포장재	1.335974771
835	일회성	2.37443365
836	포크	1.186894124
837	트럭	0.693616159
838	채집	2.37443365
839	감별	1.186894124
840	압축성	0.186027714
841	상상	1.186894124
842	골든	1.186894124
843	집게	0.186027714
844	취지	2.37443365
845	하이	0.558995291
846	정밀	7.405357449
847	이용자	69.92320319
848	전량	1.335974771
849	이득	0.37235923
850	각부	1.186894124
851	확립	24.06464666
852	뒤	2.288054945
853	주단	0.186027714
854	낙하	13.61563651
855	언급	0.693616159
856	징과	7.244945805
857	의료	220.9478101
858	당뇨병	11.39288546
859	약리학	1.186894124
860	천성	1.186894124
861	자원	5.113605687
862	주위온도	1.186894124
863	특수	0.023383154
864	이갈이	1.186894124
865	특유	0.367845834
866	횡격막	1.186894124
867	자켓	0.693616159
868	콘텍스트	4.751451014
869	절개	9.538993642
870	구	11.55419496
871	항복	1.335974771
872	커뮤니티	5.940929907
873	만이	0.37235923
874	자타	1.186894124
875	이사	1.186894124
876	안내	0.753879469
877	메시	2.368800423
878	퇴근	2.37443365
879	친척	2.37443365
880	응답	54.36226062
881	정밀도	3.430180519
882	형과	0.014675848
883	존재	2.901385151
884	호환	3.562619104
885	영양	23.8316147
886	상차	1.186894124
887	워킹	5.635347313
888	산업용	0.186027714
889	웃음	2.37443365
890	예명	2.37443365
891	하위	0.000927948
892	알	0.676048087
893	칫솔질	1.186894124
894	총체적	1.186894124
895	본원	4.720178834
896	귀걸이	2.37443365
897	무	0.539267905
898	안전모	2.37443365
899	자동	17.02176126
900	뇌전도	4.751451014
901	쓰기	0.186027714
902	유지	18.49784757
903	미약	1.186894124
904	게다	22.66186456
905	접이	0.044075479
906	운동자	17.87141943
907	카트리지	11.76562759
908	열광	1.186894124
909	혈색소	2.37443365
910	목표량	2.37443365
911	하드	2.6755898
912	생산	46.7797647
913	오늘	1.186894124
914	기체상	1.186894124
915	바깥	0.066322854
916	용인	1.186894124
917	버스	2.794756236
918	유비	28.66466181
919	첨단부	1.186894124
920	성분	13.96388101
921	정인	1.186894124
922	데이타	28.66466181
