,0,1,2,3,4,5
102,지,-4.054104022394256e-05,107,121,383792,378909
103,졸음,0.00028895053572240963,119,8,383792,378909
104,편안,-1.0073424604826698e-07,3,3,383792,378909
105,심막,2.6055780214282737e-06,1,0,383792,378909
106,전년도,2.6055780214282737e-06,1,0,383792,378909
107,탑승,1.807115573991747e-05,12,5,383792,378909
108,기술적,2.5787155558154027e-05,18,8,383792,378909
109,정중,5.2111560428565474e-06,2,0,383792,378909
110,촬영렌즈,5.2111560428565474e-06,2,0,383792,378909
111,증명,2.6055780214282737e-06,1,0,383792,378909
112,변용,2.3450202192854464e-05,9,0,383792,378909
113,차광막,2.6055780214282737e-06,1,0,383792,378909
114,말초,4.95059824071372e-05,19,0,383792,378909
115,증가량,5.2111560428565474e-06,2,0,383792,378909
116,줌,2.6022202132266646e-05,11,1,383792,378909
117,조작,0.0002457502736888333,148,53,383792,378909
118,건강관리,0.0010135698503355983,389,0,383792,378909
119,베이스라인,2.6055780214282737e-06,1,0,383792,378909
120,간헐성,2.6055780214282737e-06,1,0,383792,378909
121,차량,-0.001361146500112796,59,574,383792,378909
122,좌표축,3.126693625713928e-05,12,0,383792,378909
123,영상,0.0011085188672259262,548,121,383792,378909
124,매스,-1.3397249009318347e-05,6,11,383792,378909
125,측정법,3.647809229999583e-05,14,0,383792,378909
126,고운,7.81673406428482e-06,3,0,383792,378909
127,시설,0.00029492047527580954,177,63,383792,378909
128,파티,5.2111560428565474e-06,2,0,383792,378909
129,프로덕트,7.81673406428482e-06,3,0,383792,378909
130,심전,0.00014591236919998332,56,0,383792,378909
131,도움,5.174220152638849e-05,31,11,383792,378909
132,하층,-2.676091993662061e-05,11,21,383792,378909
133,응력,-2.9232185629984526e-05,6,17,383792,378909
134,커패시터,-0.0002457772984404866,10,103,383792,378909
135,위상각,-1.3229358599237901e-05,1,6,383792,378909
136,외부부착,2.6055780214282737e-06,1,0,383792,378909
137,신호등,-1.0690936741841806e-05,4,8,383792,378909
138,집약,5.2111560428565474e-06,2,0,383792,378909
139,성분표,2.6055780214282737e-06,1,0,383792,378909
140,셀로,-6.71561640321777e-08,2,2,383792,378909
141,신뢰도,3.644451421797974e-05,15,1,383792,378909
142,밀접,-1.0073424604826698e-07,3,3,383792,378909
143,젓,5.2111560428565474e-06,2,0,383792,378909
144,저가,3.370462386848712e-05,18,5,383792,378909
145,회복기,7.81673406428482e-06,3,0,383792,378909
146,동계,5.2111560428565474e-06,2,0,383792,378909
147,성인,-2.388671725906362e-05,4,13,383792,378909
148,혹,1.028799975764874e-05,8,4,383792,378909
149,하측,-0.000357058369851359,23,158,383792,378909
150,적정,9.346502795125696e-05,46,10,383792,378909
151,수은,2.6055780214282737e-06,1,0,383792,378909
152,충전부,-5.379046452936992e-06,3,5,383792,378909
153,소스,-0.00018073858215082804,38,106,383792,378909
154,분치,2.3450202192854464e-05,9,0,383792,378909
155,인출,-0.00011398738367834893,15,58,383792,378909
156,하면서,-9.250477594861704e-05,4,39,383792,378909
157,잠시,5.2111560428565474e-06,2,0,383792,378909
158,주소지,2.6055780214282737e-06,1,0,383792,378909
159,요약,1.0388734003697006e-05,5,1,383792,378909
160,겨울,5.2111560428565474e-06,2,0,383792,378909
161,후각,1.0422312085713095e-05,4,0,383792,378909
162,마르,-7.951046392349176e-06,1,4,383792,378909
163,금액,5.110421796808281e-06,5,3,383792,378909
164,복조,3.647809229999583e-05,14,0,383792,378909
165,정과,2.08110460894101e-05,9,1,383792,378909
166,법적,7.783155982268732e-06,4,1,383792,378909
167,자상,-3.357808201608885e-08,1,1,383792,378909
168,스코어,0.00011718385480024012,47,2,383792,378909
169,총,-2.238921594416628e-05,38,46,383792,378909
170,연락,5.009687550760014e-06,8,6,383792,378909
171,기계적,-6.975971347810046e-05,34,60,383792,378909
172,자극,0.0007814383598543695,307,7,383792,378909
173,실장,-6.14393081835743e-05,22,45,383792,378909
174,이탈,-0.00016436639621790445,22,84,383792,378909
175,옵션,1.8239046149997916e-05,7,0,383792,378909
176,상술,4.9425313867278375e-06,10,8,383792,378909
177,하퇴,7.81673406428482e-06,3,0,383792,378909
178,귓불,1.563346812856964e-05,6,0,383792,378909
179,재생,-0.00012795546008194077,38,86,383792,378909
180,에스,1.0086531265552205e-05,14,10,383792,378909
181,관심사,2.6055780214282737e-06,1,0,383792,378909
182,공급자,2.6055780214282737e-06,1,0,383792,378909
183,동작,0.0005699025288795263,712,487,383792,378909
184,카드사,2.6055780214282737e-06,1,0,383792,378909
185,모공,1.0422312085713095e-05,4,0,383792,378909
186,인터페이스,0.000646438461594514,319,70,383792,378909
187,유문,2.6055780214282737e-06,1,0,383792,378909
188,회로,-0.0004361863682119483,336,497,383792,378909
189,세탁,-0.00022967373716369175,2,89,383792,378909
190,압박,2.0777468007394013e-05,10,2,383792,378909
191,표,0.0001608406976062151,83,21,383792,378909
192,검토,3.644451421797974e-05,15,1,383792,378909
193,측정,0.010743032823207785,4509,381,383792,378909
194,버퍼,-0.00011635791512566458,7,51,383792,378909
195,강,-9.936125801026196e-05,51,88,383792,378909
196,이온,-0.00023491847128856436,1,90,383792,378909
197,진동부,-5.345468370920903e-06,2,4,383792,378909
198,가맹점,5.2111560428565474e-06,2,0,383792,378909
199,붉은색,-2.6727341854604514e-06,1,2,383792,378909
200,확대,-3.21399663895576e-05,14,26,383792,378909
201,타지역,2.6055780214282737e-06,1,0,383792,378909
202,결부,5.2111560428565474e-06,2,0,383792,378909
203,템플,3.9083670321424105e-05,15,0,383792,378909
204,근음,5.2111560428565474e-06,2,0,383792,378909
205,입력단자,-2.378598301301535e-05,1,10,383792,378909
206,라이저,1.0220843593616563e-05,10,6,383792,378909
207,인식,0.0008790064671419521,388,50,383792,378909
208,동시,0.00029156266707420066,277,163,383792,378909
209,파체,5.2111560428565474e-06,2,0,383792,378909
210,미분,-2.1650498139812322e-05,16,24,383792,378909
211,발구름,5.2111560428565474e-06,2,0,383792,378909
212,크기,-0.00026443279395050424,94,193,383792,378909
213,입욕,5.2111560428565474e-06,2,0,383792,378909
214,뉴,-1.8675561216207075e-05,6,13,383792,378909
215,광부,-0.00012464474233817466,18,65,383792,378909
216,첨가물,0.00013772627623352153,64,11,383792,378909
217,테니스,2.6055780214282737e-06,1,0,383792,378909
218,에어,-8.94761952368063e-05,71,104,383792,378909
219,타로,2.5384218573960956e-06,3,2,383792,378909
220,일부인,5.2111560428565474e-06,2,0,383792,378909
221,기준치,7.021629425049903e-05,31,4,383792,378909
222,더,1.786968724782094e-05,18,11,383792,378909
223,리딩,5.14399987882437e-06,4,2,383792,378909
224,배터리,-0.0004587901593089366,66,239,383792,378909
225,장점,-7.456793253676392e-05,20,48,383792,378909
226,보도,-2.121398307360317e-05,3,11,383792,378909
227,재귀,2.5384218573960956e-06,3,2,383792,378909
228,이웃,-0.0001109452905907115,3,45,383792,378909
229,머리띠,2.6055780214282737e-06,1,0,383792,378909
230,수동,-4.797490301022377e-05,14,32,383792,378909
231,화관,2.6055780214282737e-06,1,0,383792,378909
232,라이,2.5887889804202292e-05,15,5,383792,378909
233,이의,-0.0004967993310058458,19,207,383792,378909
234,색깔,2.5384218573960956e-06,3,2,383792,378909
235,장하,5.2111560428565474e-06,2,0,383792,378909
236,일시,0.00010682869887855922,41,0,383792,378909
237,유체,-0.0006352106812555157,54,294,383792,378909
238,말과,5.722198222537376e-05,25,3,383792,378909
239,야외,4.416051403621629e-05,21,4,383792,378909
240,별도,9.112766887085631e-06,43,39,383792,378909
241,푸리에,5.2111560428565476e-05,20,0,383792,378909
242,단기간,-6.71561640321777e-08,2,2,383792,378909
243,제정,2.6055780214282737e-06,1,0,383792,378909
244,봉제,2.6055780214282737e-06,1,0,383792,378909
245,다각적,2.6055780214282737e-06,1,0,383792,378909
246,재구성,4.4093357872184116e-05,23,6,383792,378909
247,응용,-5.714827273097885e-06,13,15,383792,378909
248,질병,0.0003621081888144979,141,2,383792,378909
249,수업,5.2111560428565474e-06,2,0,383792,378909
250,직립,-1.0590202495793539e-05,1,5,383792,378909
251,사운드,-5.882717683178324e-06,18,20,383792,378909
252,연속,-3.1582651371110746e-05,76,87,383792,378909
253,콧구멍,1.8239046149997916e-05,7,0,383792,378909
254,고가,-2.773468431508718e-06,4,5,383792,378909
255,트리트먼트,-5.379046452936992e-06,3,5,383792,378909
256,타인,1.563346812856964e-05,6,0,383792,378909
257,움,-0.0001194671643773342,21,66,383792,378909
258,도난,-1.0590202495793539e-05,1,5,383792,378909
259,리을,2.6055780214282737e-06,1,0,383792,378909
260,엠,5.2111560428565474e-06,2,0,383792,378909
261,디지탈,7.682421736220465e-06,7,4,383792,378909
262,조성,-0.0005157435168781817,33,228,383792,378909
263,디스펜서,-1.0590202495793539e-05,1,5,383792,378909
264,턴,-6.076774654325252e-05,2,25,383792,378909
265,취급,2.3416624110838375e-05,10,1,383792,378909
266,당뇨,5.2111560428565476e-05,20,0,383792,378909
267,탈산소,2.6055780214282737e-06,1,0,383792,378909
268,일출,1.563346812856964e-05,6,0,383792,378909
269,귀부,2.6055780214282737e-06,1,0,383792,378909
270,수평축,-1.3229358599237901e-05,1,6,383792,378909
271,뇌파,0.0003152749405928211,121,0,383792,378909
272,트리,-9.087296230565536e-05,34,68,383792,378909
273,교호,-5.345468370920903e-06,2,4,383792,378909
274,제조,-0.005630125842615212,24,2157,383792,378909
275,특이,6.253387251427857e-05,24,0,383792,378909
276,소식,2.3450202192854464e-05,9,0,383792,378909
277,키보드,7.81673406428482e-06,3,0,383792,378909
278,돌입,5.2111560428565474e-06,2,0,383792,378909
279,기형성,2.6055780214282737e-06,1,0,383792,378909
280,기관,0.0002775073688003872,224,116,383792,378909
281,부종,5.2111560428565474e-06,2,0,383792,378909
282,구좌,2.6055780214282737e-06,1,0,383792,378909
283,들,-0.00012528272589648035,37,84,383792,378909
284,체계,7.783155982268732e-06,4,1,383792,378909
285,델타,-6.71561640321777e-08,2,2,383792,378909
286,쿼터,0.0001876016175428357,72,0,383792,378909
287,불면증,7.81673406428482e-06,3,0,383792,378909
288,도구,-1.907849820040014e-05,18,25,383792,378909
289,배합,-0.00014261516383204387,3,57,383792,378909
290,시야각,2.5384218573960956e-06,3,2,383792,378909
291,아치,-3.0220273814479925e-07,9,9,383792,378909
292,통보함,2.6055780214282737e-06,1,0,383792,378909
293,이어폰,9.380080877141786e-05,36,0,383792,378909
294,공제,1.0422312085713095e-05,4,0,383792,378909
295,측지선,2.6055780214282737e-06,1,0,383792,378909
296,과목,1.563346812856964e-05,6,0,383792,378909
297,케이,0.000917029151214688,356,4,383792,378909
298,심전계,3.9083670321424105e-05,15,0,383792,378909
299,구강,0.00022394539751476717,90,4,383792,378909
300,신지,5.2111560428565474e-06,2,0,383792,378909
301,무효,2.571999939412185e-06,2,1,383792,378909
302,노동,-7.951046392349176e-06,1,4,383792,378909
303,분포,-7.804654069061052e-05,45,74,383792,378909
304,조리,-1.5868514702682264e-05,1,7,383792,378909
305,활동량,0.0006383666152499271,245,0,383792,378909
306,직경,-0.0003436611208420406,17,147,383792,378909
307,성병,2.6055780214282737e-06,1,0,383792,378909
308,재상,2.6055780214282737e-06,1,0,383792,378909
